gen,net_size,D,II,segII,nu,HS,HT,GST,RI,RI_max,RI_max_free,N,r,stp,Ne,Sim,U,NU
81915,89259,0.061,0.51,0.23,0.593,0.037,0.066,0.442,0,0.073,0.132,1000,Free,6,535.174,1633,0.1,100.0
98593,105913,0.071,0.77,0.205,0.593,0.047,0.081,0.417,0,0.071,0.183,1000,Free,7,535.174,1633,0.1,100.0
179880,142596,0.08,0.58,0.125,0.593,0.044,0.082,0.465,0,0.085,0.165,1000,Free,8,535.174,1633,0.1,100.0
179905,142673,0.09,0.66,0.12,0.593,0.039,0.083,0.524,0,0.112,0.174,1000,Free,9,535.174,1633,0.1,100.0
180304,143395,0.1,0.87,0.185,0.593,0.04,0.088,0.547,0,0.101,0.238,1000,Free,10,535.174,1633,0.1,100.0
181750,145514,0.111,1.34,0.18,0.593,0.045,0.098,0.538,0,0.116,0.317,1000,Free,11,535.174,1633,0.1,100.0
0,17569,0.0,0.14,0.19,0.576,0.043,0.043,0.0,0,0.032,0.041,1000,Free,0,292.4,1634,0.1,100.0
61359,71328,0.011,0.2,0.17,0.576,0.043,0.049,0.11,0,0.038,0.057,1000,Free,1,292.4,1634,0.1,100.0
74908,77104,0.021,0.4,0.13,0.576,0.046,0.056,0.175,0,0.101,0.09,1000,Free,2,292.4,1634,0.1,100.0
74973,77182,0.031,0.38,0.145,0.576,0.047,0.062,0.24,0,0.106,0.102,1000,Free,3,292.4,1634,0.1,100.0
76268,79035,0.04,0.38,0.14,0.576,0.046,0.065,0.293,0,0.1,0.093,1000,Free,4,292.4,1634,0.1,100.0
76464,79474,0.051,0.47,0.11,0.576,0.042,0.067,0.365,0,0.1,0.114,1000,Free,5,292.4,1634,0.1,100.0
76587,79910,0.06,0.78,0.17,0.576,0.045,0.074,0.392,0,0.156,0.125,1000,Free,6,292.4,1634,0.1,100.0
79765,86136,0.071,0.71,0.255,0.576,0.045,0.078,0.429,0,0.154,0.15,1000,Free,7,292.4,1634,0.1,100.0
79823,86299,0.081,0.64,0.215,0.576,0.044,0.083,0.464,0,0.13,0.136,1000,Free,8,292.4,1634,0.1,100.0
79847,86402,0.09,0.79,0.165,0.576,0.039,0.083,0.524,0,0.15,0.17,1000,Free,9,292.4,1634,0.1,100.0
87054,96752,0.101,1.11,0.15,0.576,0.045,0.093,0.52,0,0.17,0.202,1000,Free,10,292.4,1634,0.1,100.0
162147,138463,0.11,0.9,0.18,0.576,0.042,0.095,0.554,0,0.179,0.209,1000,Free,11,292.4,1634,0.1,100.0
0,16135,0.0,0.16,0.18,0.5702,0.041,0.041,0.0,0,0.033,0.052,1000,Free,0,240.788,1635,0.1,100.0
7592,29898,0.011,0.27,0.2,0.5702,0.045,0.051,0.103,0,0.035,0.067,1000,Free,1,240.788,1635,0.1,100.0
7659,30077,0.021,0.28,0.195,0.5702,0.041,0.051,0.199,0,0.05,0.079,1000,Free,2,240.788,1635,0.1,100.0
7723,30446,0.03,0.52,0.165,0.5702,0.041,0.056,0.259,0,0.071,0.089,1000,Free,3,240.788,1635,0.1,100.0
13776,44073,0.041,0.6,0.245,0.5702,0.047,0.067,0.29,0,0.09,0.151,1000,Free,4,240.788,1635,0.1,100.0
13913,44392,0.05,0.71,0.155,0.5702,0.042,0.066,0.361,0,0.089,0.129,1000,Free,5,240.788,1635,0.1,100.0
13946,44542,0.061,0.58,0.215,0.5702,0.043,0.072,0.405,0,0.076,0.162,1000,Free,6,240.788,1635,0.1,100.0
14240,45773,0.071,0.86,0.165,0.5702,0.047,0.081,0.416,0,0.185,0.194,1000,Free,7,240.788,1635,0.1,100.0
14418,46752,0.08,1.04,0.2,0.5702,0.041,0.079,0.485,0,0.172,0.213,1000,Free,8,240.788,1635,0.1,100.0
14457,47260,0.09,1.33,0.185,0.5702,0.04,0.083,0.522,0,0.215,0.23,1000,Free,9,240.788,1635,0.1,100.0
14655,48848,0.101,1.3,0.16,0.5702,0.038,0.087,0.559,0,0.211,0.24,1000,Free,10,240.788,1635,0.1,100.0
18811,61043,0.112,1.47,0.195,0.5702,0.042,0.096,0.557,0,0.256,0.285,1000,Free,11,240.788,1635,0.1,100.0
0,17083,0.0,0.14,0.105,0.5607,0.035,0.035,0.0,0,0.017,0.036,1000,Free,0,349.073,1636,0.1,100.0
8126,31565,0.01,0.26,0.2,0.5607,0.047,0.052,0.095,0,0.04,0.058,1000,Free,1,349.073,1636,0.1,100.0
8190,31736,0.02,0.24,0.1,0.5607,0.039,0.049,0.199,0,0.048,0.065,1000,Free,2,349.073,1636,0.1,100.0
8494,32901,0.03,0.24,0.255,0.5607,0.037,0.052,0.28,0,0.071,0.091,1000,Free,3,349.073,1636,0.1,100.0
324715,176708,0.04,0.58,0.17,0.5607,0.044,0.063,0.305,0,0.121,0.147,1000,Free,4,349.073,1636,0.1,100.0
481995,211218,0.052,0.89,0.215,0.5607,0.049,0.074,0.334,0,0.141,0.173,1000,Free,5,349.073,1636,0.1,100.0
482115,211303,0.061,0.54,0.115,0.5607,0.038,0.067,0.434,0,0.095,0.129,1000,Free,6,349.073,1636,0.1,100.0
485235,214076,0.07,1.07,0.145,0.5607,0.042,0.075,0.446,0,0.164,0.165,1000,Free,7,349.073,1636,0.1,100.0
485342,214260,0.081,1.25,0.24,0.5607,0.048,0.087,0.446,0,0.201,0.199,1000,Free,8,349.073,1636,0.1,100.0
485372,214339,0.091,1.4,0.22,0.5607,0.046,0.089,0.486,0,0.175,0.265,1000,Free,9,349.073,1636,0.1,100.0
485864,215719,0.1,1.4,0.085,0.5607,0.037,0.085,0.565,0,0.18,0.244,1000,Free,10,349.073,1636,0.1,100.0
726526,301649,0.11,1.51,0.175,0.5607,0.042,0.095,0.558,0,0.209,0.336,1000,Free,11,349.073,1636,0.1,100.0
0,14555,0.0,0.13,0.225,0.5448,0.038,0.038,0.0,0,0.033,0.043,1000,Free,0,440.74,1637,0.1,100.0
203956,101623,0.011,0.28,0.17,0.5448,0.043,0.048,0.106,0,0.043,0.051,1000,Free,1,440.74,1637,0.1,100.0
204018,101691,0.02,0.31,0.17,0.5448,0.041,0.051,0.193,0,0.016,0.086,1000,Free,2,440.74,1637,0.1,100.0
204136,101799,0.03,0.43,0.2,0.5448,0.043,0.058,0.252,0,0.033,0.095,1000,Free,3,440.74,1637,0.1,100.0
204821,102480,0.041,0.45,0.135,0.5448,0.04,0.059,0.329,0,0.026,0.116,1000,Free,4,440.74,1637,0.1,100.0
204869,102604,0.05,0.45,0.135,0.5448,0.041,0.065,0.367,0,0.045,0.116,1000,Free,5,440.74,1637,0.1,100.0
204920,102753,0.06,0.62,0.25,0.5448,0.038,0.067,0.432,0,0.051,0.143,1000,Free,6,440.74,1637,0.1,100.0
210508,112402,0.07,0.87,0.185,0.5448,0.043,0.077,0.435,0,0.051,0.218,1000,Free,7,440.74,1637,0.1,100.0
214462,116741,0.08,1.26,0.135,0.5448,0.042,0.081,0.478,0,0.078,0.281,1000,Free,8,440.74,1637,0.1,100.0
214502,116955,0.092,1.42,0.12,0.5448,0.038,0.082,0.54,0,0.075,0.299,1000,Free,9,440.74,1637,0.1,100.0
214696,117795,0.1,1.46,0.195,0.5448,0.042,0.09,0.532,0,0.09,0.256,1000,Free,10,440.74,1637,0.1,100.0
214887,118787,0.112,1.51,0.18,0.5448,0.044,0.097,0.55,0,0.111,0.239,1000,Free,11,440.74,1637,0.1,100.0
0,15207,0.0,0.2,0.19,0.5308,0.044,0.044,0.0,0,0.034,0.052,1000,Free,0,362.002,1638,0.1,100.0
985,17735,0.01,0.28,0.225,0.5308,0.042,0.047,0.104,0,0.035,0.076,1000,Free,1,362.002,1638,0.1,100.0
1009,17899,0.021,0.32,0.16,0.5308,0.038,0.048,0.206,0,0.036,0.08,1000,Free,2,362.002,1638,0.1,100.0
1027,18152,0.03,0.38,0.18,0.5308,0.042,0.056,0.257,0,0.048,0.107,1000,Free,3,362.002,1638,0.1,100.0
1090,18879,0.043,0.53,0.185,0.5308,0.044,0.064,0.318,0,0.097,0.12,1000,Free,4,362.002,1638,0.1,100.0
1119,19332,0.05,0.59,0.165,0.5308,0.042,0.066,0.364,0,0.116,0.123,1000,Free,5,362.002,1638,0.1,100.0
1168,20073,0.06,0.55,0.125,0.5308,0.04,0.069,0.42,0,0.12,0.152,1000,Free,6,362.002,1638,0.1,100.0
1578,23565,0.071,0.78,0.09,0.5308,0.044,0.078,0.436,0,0.183,0.17,1000,Free,7,362.002,1638,0.1,100.0
6009,39419,0.08,1.04,0.13,0.5308,0.043,0.081,0.472,0,0.131,0.2,1000,Free,8,362.002,1638,0.1,100.0
6025,39547,0.09,1.13,0.185,0.5308,0.044,0.087,0.495,0,0.159,0.227,1000,Free,9,362.002,1638,0.1,100.0
6113,40248,0.101,1.48,0.18,0.5308,0.043,0.091,0.53,0,0.147,0.279,1000,Free,10,362.002,1638,0.1,100.0
74215,124497,0.111,1.36,0.2,0.5308,0.05,0.102,0.514,0,0.28,0.29,1000,Free,11,362.002,1638,0.1,100.0
0,17954,0.0,0.19,0.15,0.5652,0.038,0.038,0.0,0,0.025,0.037,1000,Free,0,412.632,1639,0.1,100.0
3679,25920,0.011,0.24,0.215,0.5652,0.046,0.051,0.098,0,0.054,0.066,1000,Free,1,412.632,1639,0.1,100.0
3745,26118,0.02,0.34,0.165,0.5652,0.043,0.053,0.182,0,0.061,0.082,1000,Free,2,412.632,1639,0.1,100.0
3764,26282,0.03,0.43,0.165,0.5652,0.038,0.052,0.278,0,0.077,0.103,1000,Free,3,412.632,1639,0.1,100.0
8175,37867,0.04,0.58,0.115,0.5652,0.042,0.061,0.315,0,0.108,0.13,1000,Free,4,412.632,1639,0.1,100.0
8214,37949,0.051,0.44,0.175,0.5652,0.043,0.068,0.36,0,0.119,0.135,1000,Free,5,412.632,1639,0.1,100.0
22149,56836,0.061,0.71,0.155,0.5652,0.043,0.072,0.407,0,0.093,0.131,1000,Free,6,412.632,1639,0.1,100.0
67182,91226,0.07,0.56,0.145,0.5652,0.041,0.075,0.45,0,0.085,0.117,1000,Free,7,412.632,1639,0.1,100.0
67199,91286,0.082,0.69,0.11,0.5652,0.041,0.081,0.488,0,0.101,0.144,1000,Free,8,412.632,1639,0.1,100.0
67246,91418,0.09,0.69,0.16,0.5652,0.041,0.084,0.516,0,0.094,0.156,1000,Free,9,412.632,1639,0.1,100.0
85402,110743,0.1,0.83,0.185,0.5652,0.037,0.085,0.567,0,0.105,0.172,1000,Free,10,412.632,1639,0.1,100.0
181118,155594,0.11,1.1,0.135,0.5652,0.037,0.09,0.592,0,0.146,0.19,1000,Free,11,412.632,1639,0.1,100.0
0,14745,0.0,0.18,0.11,0.5463,0.037,0.037,0.0,0,0.018,0.043,1000,Free,0,1463.287,1640,0.1,100.0
16938,37651,0.011,0.21,0.12,0.5463,0.041,0.046,0.113,0,0.035,0.052,1000,Free,1,1463.287,1640,0.1,100.0
17012,37760,0.02,0.26,0.115,0.5463,0.033,0.043,0.228,0,0.023,0.076,1000,Free,2,1463.287,1640,0.1,100.0
17134,37971,0.031,0.49,0.14,0.5463,0.039,0.053,0.279,0,0.051,0.086,1000,Free,3,1463.287,1640,0.1,100.0
20076,43489,0.04,0.65,0.195,0.5463,0.045,0.064,0.3,0,0.062,0.12,1000,Free,4,1463.287,1640,0.1,100.0
20125,43768,0.05,0.56,0.215,0.5463,0.041,0.065,0.371,0,0.064,0.122,1000,Free,5,1463.287,1640,0.1,100.0
20175,44109,0.061,0.81,0.215,0.5463,0.045,0.074,0.391,0,0.088,0.152,1000,Free,6,1463.287,1640,0.1,100.0
20520,45706,0.071,0.56,0.13,0.5463,0.039,0.074,0.465,0,0.076,0.107,1000,Free,7,1463.287,1640,0.1,100.0
20563,45962,0.081,0.49,0.185,0.5463,0.04,0.078,0.496,0,0.103,0.142,1000,Free,8,1463.287,1640,0.1,100.0
20839,47611,0.09,0.67,0.16,0.5463,0.039,0.082,0.528,0,0.112,0.149,1000,Free,9,1463.287,1640,0.1,100.0
29359,68926,0.1,0.63,0.155,0.5463,0.038,0.087,0.557,0,0.082,0.18,1000,Free,10,1463.287,1640,0.1,100.0
273418,201244,0.111,0.86,0.235,0.5463,0.047,0.1,0.528,0,0.088,0.26,1000,Free,11,1463.287,1640,0.1,100.0
0,20460,0.0,0.27,0.145,0.6165,0.045,0.045,0.0,0,0.032,0.043,1000,Free,0,289.179,1641,0.1,100.0
33715,66804,0.01,0.2,0.15,0.6165,0.045,0.05,0.096,0,0.039,0.045,1000,Free,1,289.179,1641,0.1,100.0
33808,66973,0.02,0.27,0.1,0.6165,0.046,0.056,0.174,0,0.04,0.057,1000,Free,2,289.179,1641,0.1,100.0
33899,67165,0.03,0.49,0.17,0.6165,0.043,0.057,0.253,0,0.074,0.081,1000,Free,3,289.179,1641,0.1,100.0
101752,101924,0.04,0.34,0.23,0.6165,0.051,0.07,0.274,0,0.065,0.098,1000,Free,4,289.179,1641,0.1,100.0
101817,102120,0.05,0.6,0.185,0.6165,0.05,0.074,0.324,0,0.096,0.143,1000,Free,5,289.179,1641,0.1,100.0
101891,102352,0.06,0.47,0.175,0.6165,0.042,0.071,0.407,0,0.094,0.115,1000,Free,6,289.179,1641,0.1,100.0
107717,113150,0.071,0.66,0.165,0.6165,0.05,0.083,0.404,0,0.142,0.163,1000,Free,7,289.179,1641,0.1,100.0
110884,116785,0.08,0.57,0.195,0.6165,0.046,0.084,0.453,0,0.172,0.176,1000,Free,8,289.179,1641,0.1,100.0
110912,116892,0.091,0.63,0.21,0.6165,0.047,0.09,0.482,0,0.198,0.17,1000,Free,9,289.179,1641,0.1,100.0
118077,129649,0.1,0.82,0.21,0.6165,0.046,0.094,0.51,0,0.253,0.187,1000,Free,10,289.179,1641,0.1,100.0
286074,209379,0.111,1.21,0.185,0.6165,0.047,0.099,0.53,0,0.386,0.228,1000,Free,11,289.179,1641,0.1,100.0
0,47595,0.0,0.26,0.215,0.6095,0.057,0.057,0.0,0,0.036,0.074,500,1.0,0,454.747,1642,0.1,50.0
1246,54727,0.03,0.73,0.355,0.6095,0.059,0.073,0.196,0,0.11,0.144,500,1.0,1,454.747,1642,0.1,50.0
2408,62170,0.061,0.98,0.33,0.6095,0.064,0.092,0.308,0,0.122,0.15,500,1.0,2,454.747,1642,0.1,50.0
3569,68079,0.09,1.15,0.345,0.6095,0.053,0.096,0.444,0,0.108,0.198,500,1.0,3,454.747,1642,0.1,50.0
4328,73011,0.123,0.69,0.185,0.6095,0.04,0.099,0.596,0,0.144,0.21,500,1.0,4,454.747,1642,0.1,50.0
51446,180201,0.152,1.76,0.3,0.6095,0.056,0.127,0.563,0,0.314,0.386,500,1.0,5,454.747,1642,0.1,50.0
52050,183949,0.18,2.16,0.355,0.6095,0.061,0.146,0.581,0,0.364,0.418,500,1.0,6,454.747,1642,0.1,50.0
52784,188490,0.213,2.44,0.32,0.6095,0.053,0.154,0.655,0,0.364,0.446,500,1.0,7,454.747,1642,0.1,50.0
56366,213430,0.242,3.74,0.35,0.6095,0.061,0.174,0.652,0,0.394,0.494,500,1.0,8,454.747,1642,0.1,50.0
61756,240924,0.272,3.45,0.385,0.6095,0.056,0.184,0.696,0,0.376,0.478,500,1.0,9,454.747,1642,0.1,50.0
62371,245835,0.301,2.77,0.22,0.6095,0.046,0.189,0.757,0,0.36,0.508,500,1.0,10,454.747,1642,0.1,50.0
100051,328010,0.331,2.8,0.27,0.6095,0.051,0.208,0.753,0,0.378,0.484,500,1.0,11,454.747,1642,0.1,50.0
0,60539,0.0,0.17,0.12,0.619,0.04,0.04,0.0,0,0.026,0.042,500,Free,0,294.744,1643,0.1,50.0
287145,123183,0.03,0.31,0.16,0.609,0.044,0.058,0.249,0,0.08,0.082,500,Free,1,294.744,1643,0.1,50.0
300389,125124,0.06,0.53,0.13,0.603,0.04,0.069,0.421,0,0.098,0.124,500,Free,2,294.744,1643,0.1,50.0
301205,125632,0.091,1.0,0.095,0.624,0.043,0.086,0.503,0,0.302,0.254,500,Free,3,294.744,1643,0.1,50.0
301271,126215,0.123,1.41,0.235,0.632,0.052,0.11,0.528,0,0.286,0.328,500,Free,4,294.744,1643,0.1,50.0
302982,132224,0.151,1.98,0.11,0.639,0.046,0.118,0.611,0,0.348,0.342,500,Free,5,294.744,1643,0.1,50.0
331642,167156,0.181,1.79,0.175,0.632,0.043,0.13,0.667,0,0.286,0.3,500,Free,6,294.744,1643,0.1,50.0
467314,234367,0.211,3.04,0.16,0.62,0.043,0.144,0.7,0,0.332,0.48,500,Free,7,294.744,1643,0.1,50.0
2141693,502352,0.24,2.28,0.215,0.61,0.055,0.168,0.675,0,0.368,0.434,500,Free,8,294.744,1643,0.1,50.0
2141820,502502,0.273,1.82,0.11,0.635,0.035,0.167,0.791,0,0.34,0.434,500,Free,9,294.744,1643,0.1,50.0
2469446,623879,0.301,3.68,0.25,0.647,0.05,0.193,0.741,0,0.274,0.48,500,Free,10,294.744,1643,0.1,50.0
2507865,645993,0.331,4.26,0.15,0.645,0.043,0.201,0.789,0,0.234,0.532,500,Free,11,294.744,1643,0.1,50.0
0,47875,0.0,0.16,0.12,0.596,0.04,0.04,0.0,0,0.034,0.052,500,Free,0,508.823,1644,0.1,50.0
30509,58576,0.03,0.35,0.16,0.602,0.041,0.055,0.264,0,0.098,0.092,500,Free,1,508.823,1644,0.1,50.0
31308,60188,0.061,1.26,0.225,0.604,0.051,0.08,0.364,0,0.562,0.284,500,Free,2,508.823,1644,0.1,50.0
31911,62699,0.091,1.78,0.14,0.638,0.041,0.084,0.517,0,0.736,0.378,500,Free,3,508.823,1644,0.1,50.0
35149,69846,0.12,2.18,0.275,0.626,0.05,0.107,0.533,0,0.704,0.412,500,Free,4,508.823,1644,0.1,50.0
36079,71799,0.151,2.1,0.13,0.639,0.04,0.112,0.645,0,0.774,0.464,500,Free,5,508.823,1644,0.1,50.0
36294,73137,0.18,2.74,0.18,0.632,0.044,0.13,0.664,0,0.722,0.478,500,Free,6,508.823,1644,0.1,50.0
214407,156110,0.212,2.55,0.16,0.629,0.043,0.144,0.701,0,0.542,0.488,500,Free,7,508.823,1644,0.1,50.0
225036,169600,0.243,3.01,0.155,0.617,0.053,0.168,0.686,0,0.632,0.498,500,Free,8,508.823,1644,0.1,50.0
300559,214841,0.272,3.12,0.205,0.608,0.04,0.17,0.767,0,0.47,0.482,500,Free,9,508.823,1644,0.1,50.0
303929,220386,0.3,3.63,0.205,0.624,0.042,0.186,0.775,0,0.574,0.456,500,Free,10,508.823,1644,0.1,50.0
323803,240413,0.33,3.25,0.115,0.63,0.036,0.195,0.816,0,0.758,0.53,500,Free,11,508.823,1644,0.1,50.0
0,48805,0.0,0.31,0.21,0.607,0.044,0.044,0.0,0,0.022,0.042,500,Free,0,355.439,1645,0.1,50.0
21926,56708,0.03,0.29,0.12,0.612,0.032,0.047,0.311,0,0.06,0.066,500,Free,1,355.439,1645,0.1,50.0
74159,74459,0.061,0.54,0.15,0.605,0.036,0.065,0.45,0,0.1,0.16,500,Free,2,355.439,1645,0.1,50.0
78868,82016,0.09,0.83,0.21,0.626,0.041,0.084,0.514,0,0.206,0.234,500,Free,3,355.439,1645,0.1,50.0
79793,84947,0.12,1.31,0.17,0.632,0.042,0.1,0.577,0,0.172,0.284,500,Free,4,355.439,1645,0.1,50.0
84689,93778,0.15,2.21,0.15,0.635,0.04,0.112,0.641,0,0.136,0.346,500,Free,5,355.439,1645,0.1,50.0
94160,107824,0.181,2.58,0.14,0.618,0.047,0.133,0.648,0,0.348,0.334,500,Free,6,355.439,1645,0.1,50.0
95451,110878,0.21,2.69,0.105,0.636,0.039,0.14,0.72,0,0.298,0.4,500,Free,7,355.439,1645,0.1,50.0
99843,118849,0.242,2.99,0.15,0.629,0.046,0.162,0.713,0,0.362,0.44,500,Free,8,355.439,1645,0.1,50.0
106864,126151,0.271,4.01,0.18,0.633,0.042,0.172,0.754,0,0.406,0.484,500,Free,9,355.439,1645,0.1,50.0
135670,164564,0.302,3.65,0.13,0.614,0.046,0.19,0.757,0,0.434,0.448,500,Free,10,355.439,1645,0.1,50.0
138326,172157,0.331,3.86,0.11,0.642,0.045,0.203,0.781,0,0.336,0.496,500,Free,11,355.439,1645,0.1,50.0
0,47674,0.0,0.26,0.205,0.6203,0.046,0.046,0.0,0,0.028,0.05,500,1.0,0,157.871,1646,0.1,50.0
3786,60093,0.031,0.62,0.27,0.6203,0.06,0.075,0.196,0,0.078,0.128,500,1.0,1,157.871,1646,0.1,50.0
3903,61066,0.062,1.1,0.355,0.6203,0.056,0.085,0.34,0,0.11,0.206,500,1.0,2,157.871,1646,0.1,50.0
5778,73196,0.091,0.88,0.26,0.6203,0.049,0.092,0.469,0,0.098,0.206,500,1.0,3,157.871,1646,0.1,50.0
7411,83417,0.122,1.39,0.345,0.6203,0.061,0.118,0.483,0,0.17,0.316,500,1.0,4,157.871,1646,0.1,50.0
33193,145720,0.15,1.94,0.2,0.6203,0.052,0.123,0.58,0,0.15,0.364,500,1.0,5,157.871,1646,0.1,50.0
40895,168330,0.181,1.92,0.23,0.6203,0.055,0.141,0.607,0,0.284,0.39,500,1.0,6,157.871,1646,0.1,50.0
43560,174294,0.21,2.51,0.35,0.6203,0.061,0.16,0.618,0,0.196,0.472,500,1.0,7,157.871,1646,0.1,50.0
44171,178682,0.241,2.84,0.29,0.6203,0.064,0.177,0.638,0,0.28,0.458,500,1.0,8,157.871,1646,0.1,50.0
44429,181266,0.271,3.54,0.305,0.6203,0.055,0.183,0.698,0,0.312,0.466,500,1.0,9,157.871,1646,0.1,50.0
83162,259701,0.3,3.92,0.4,0.6203,0.056,0.197,0.718,0,0.302,0.496,500,1.0,10,157.871,1646,0.1,50.0
83298,260895,0.331,4.07,0.185,0.6203,0.05,0.208,0.758,0,0.294,0.51,500,1.0,11,157.871,1646,0.1,50.0
0,32778,0.0,0.41,0.35,0.5868,0.065,0.065,0.0,0,0.044,0.088,500,1.0,0,172.764,1647,0.1,50.0
231,33872,0.031,0.49,0.21,0.5868,0.055,0.069,0.209,0,0.064,0.108,500,1.0,1,172.764,1647,0.1,50.0
487,35551,0.061,0.81,0.25,0.5868,0.06,0.089,0.322,0,0.166,0.176,500,1.0,2,172.764,1647,0.1,50.0
1058,41617,0.09,1.84,0.39,0.5868,0.064,0.106,0.398,0,0.316,0.356,500,1.0,3,172.764,1647,0.1,50.0
4790,68133,0.12,1.36,0.21,0.5868,0.05,0.107,0.535,0,0.354,0.238,500,1.0,4,172.764,1647,0.1,50.0
17208,113790,0.151,1.61,0.29,0.5868,0.061,0.132,0.538,0,0.258,0.384,500,1.0,5,172.764,1647,0.1,50.0
17414,115163,0.182,1.73,0.22,0.5868,0.052,0.139,0.623,0,0.248,0.402,500,1.0,6,172.764,1647,0.1,50.0
53876,185268,0.212,1.7,0.19,0.5868,0.054,0.154,0.649,0,0.228,0.43,500,1.0,7,172.764,1647,0.1,50.0
69832,205696,0.242,3.8,0.3,0.5868,0.056,0.171,0.669,0,0.312,0.47,500,1.0,8,172.764,1647,0.1,50.0
91753,264470,0.272,3.08,0.255,0.5868,0.056,0.184,0.697,0,0.452,0.514,500,1.0,9,172.764,1647,0.1,50.0
195561,387072,0.3,4.94,0.33,0.5868,0.059,0.2,0.705,0,0.426,0.534,500,1.0,10,172.764,1647,0.1,50.0
196120,391614,0.33,4.82,0.26,0.5868,0.055,0.211,0.738,0,0.438,0.516,500,1.0,11,172.764,1647,0.1,50.0
0,86657,0.0,0.17,0.16,0.634,0.04,0.04,0.0,0,0.032,0.042,500,Free,0,212.223,1648,0.1,50.0
5851,89367,0.031,0.41,0.12,0.649,0.04,0.055,0.272,0,0.052,0.102,500,Free,1,212.223,1648,0.1,50.0
10506,91780,0.061,0.58,0.205,0.646,0.042,0.071,0.41,0,0.07,0.12,500,Free,2,212.223,1648,0.1,50.0
86473,121537,0.09,0.79,0.175,0.635,0.041,0.084,0.516,0,0.13,0.154,500,Free,3,212.223,1648,0.1,50.0
94346,126599,0.121,0.7,0.14,0.627,0.039,0.097,0.595,0,0.088,0.118,500,Free,4,212.223,1648,0.1,50.0
112283,143312,0.15,1.41,0.145,0.609,0.037,0.109,0.661,0,0.316,0.3,500,Free,5,212.223,1648,0.1,50.0
124945,161033,0.183,2.88,0.16,0.621,0.045,0.133,0.658,0,0.224,0.4,500,Free,6,212.223,1648,0.1,50.0
3473226,648683,0.21,2.4,0.225,0.632,0.05,0.15,0.665,0,0.156,0.45,500,Free,7,212.223,1648,0.1,50.0
3818076,690027,0.24,3.58,0.24,0.622,0.05,0.164,0.696,0,0.254,0.478,500,Free,8,212.223,1648,0.1,50.0
3827683,696746,0.271,3.13,0.215,0.649,0.043,0.173,0.749,0,0.422,0.424,500,Free,9,212.223,1648,0.1,50.0
3827851,697933,0.3,3.54,0.2,0.655,0.047,0.19,0.753,0,0.438,0.47,500,Free,10,212.223,1648,0.1,50.0
3829522,702727,0.332,4.26,0.25,0.647,0.044,0.203,0.782,0,0.534,0.462,500,Free,11,212.223,1648,0.1,50.0
0,46786,0.0,0.18,0.195,0.666,0.047,0.047,0.0,0,0.024,0.056,500,1.0,0,327.066,1649,0.1,50.0
2486,54470,0.031,0.47,0.195,0.666,0.048,0.062,0.237,0,0.05,0.112,500,1.0,1,327.066,1649,0.1,50.0
37499,109990,0.062,0.97,0.24,0.666,0.063,0.092,0.317,0,0.178,0.24,500,1.0,2,327.066,1649,0.1,50.0
38219,111622,0.091,1.05,0.415,0.666,0.062,0.105,0.406,0,0.184,0.248,500,1.0,3,327.066,1649,0.1,50.0
46869,136506,0.121,1.48,0.28,0.666,0.06,0.117,0.487,0,0.428,0.334,500,1.0,4,327.066,1649,0.1,50.0
54964,158515,0.152,2.62,0.22,0.666,0.06,0.132,0.543,0,0.278,0.382,500,1.0,5,327.066,1649,0.1,50.0
64440,178622,0.18,3.59,0.24,0.666,0.066,0.15,0.561,0,0.35,0.47,500,1.0,6,327.066,1649,0.1,50.0
65074,183639,0.21,2.63,0.285,0.666,0.056,0.155,0.641,0,0.254,0.442,500,1.0,7,327.066,1649,0.1,50.0
69257,202302,0.242,3.46,0.23,0.666,0.055,0.169,0.677,0,0.274,0.464,500,1.0,8,327.066,1649,0.1,50.0
83063,252674,0.27,3.74,0.335,0.666,0.062,0.188,0.673,0,0.206,0.454,500,1.0,9,327.066,1649,0.1,50.0
85718,266815,0.303,2.59,0.25,0.666,0.049,0.193,0.747,0,0.304,0.434,500,1.0,10,327.066,1649,0.1,50.0
108582,320484,0.337,3.18,0.38,0.666,0.061,0.219,0.723,0,0.3,0.474,500,1.0,11,327.066,1649,0.1,50.0
0,35595,0.0,0.56,0.52,0.5845,0.074,0.074,0.0,0,0.046,0.118,500,1.0,0,256.572,1650,0.1,50.0
819,38004,0.031,0.6,0.255,0.5845,0.056,0.071,0.204,0,0.036,0.136,500,1.0,1,256.572,1650,0.1,50.0
6519,52454,0.061,0.98,0.25,0.5845,0.053,0.082,0.349,0,0.104,0.188,500,1.0,2,256.572,1650,0.1,50.0
12186,65876,0.093,1.66,0.2,0.5845,0.05,0.094,0.47,0,0.088,0.302,500,1.0,3,256.572,1650,0.1,50.0
18952,87222,0.12,2.07,0.18,0.5845,0.044,0.102,0.565,0,0.068,0.304,500,1.0,4,256.572,1650,0.1,50.0
25366,100299,0.154,2.2,0.305,0.5845,0.06,0.133,0.545,0,0.138,0.414,500,1.0,5,256.572,1650,0.1,50.0
29187,123885,0.182,2.46,0.315,0.5845,0.058,0.144,0.594,0,0.352,0.484,500,1.0,6,256.572,1650,0.1,50.0
30726,134421,0.21,2.19,0.255,0.5845,0.049,0.149,0.671,0,0.252,0.434,500,1.0,7,256.572,1650,0.1,50.0
